epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,609.889,1.51643,0.76981,0.99181,0.64716,0.000236979,0.000236979,0.000236979
2,1220.92,0.56401,0.84887,0.99401,0.41964,0.000427956,0.000427956,0.000427956
3,1835.02,0.42823,0.86944,0.99681,0.37231,0.000571809,0.000571809,0.000571809
4,2446.83,0.34511,0.90297,0.9974,0.27432,0.000501942,0.000501942,0.000501942
5,3057.66,0.26949,0.93392,0.9986,0.19602,0.000431256,0.000431256,0.000431256
6,3679.55,0.22177,0.92733,0.999,0.2072,0.00036057,0.00036057,0.00036057
7,4291.04,0.19072,0.95249,0.9998,0.13833,0.000289884,0.000289884,0.000289884
8,4912.78,0.15189,0.95788,0.999,0.13721,0.000219198,0.000219198,0.000219198
9,5523.35,0.13176,0.96287,0.9996,0.10969,0.000148512,0.000148512,0.000148512
10,6142.29,0.12179,0.96606,0.9996,0.09439,7.7826e-05,7.7826e-05,7.7826e-05
